timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
5756000,5732000,6620172,488.15445,0.0,95597.42,1.1358554
5808000,5784000,6620172,488.0981,0.0,95598.04,1.1358628
5860000,5836000,6620172,488.0934,0.0,95598.13,1.1358639
5912000,5888000,6620172,488.03238,0.0,95598.85,1.1358725
5964000,5940000,6620172,488.06525,0.0,95598.45,1.1358677
6016000,5992000,6620172,488.07465,0.0,95598.305,1.1358659
6068000,6044000,6620172,488.0934,0.0,95598.15,1.1358641
6120000,6096000,6620172,488.03708,0.0,95598.79,1.1358718
6172000,6148000,6620172,488.06525,0.0,95598.45,1.1358677
6224000,6200000,6620172,488.0934,0.0,95598.13,1.1358639
6276000,6252000,6620172,488.03708,0.0,95598.76,1.1358714
6328000,6304000,6620172,488.07465,0.0,95598.336,1.1358663
6380000,6356000,6620172,488.05118,0.0,95598.59,1.1358694
6432000,6408000,6620172,488.04178,0.0,95598.7,1.1358707
6484000,6460000,6620172,488.07465,0.0,95598.31,1.135866
6536000,6512000,6620172,488.0934,0.0,95598.1,1.1358635
6588000,6564000,6620172,488.05118,0.0,95598.61,1.1358696
6640000,6616000,6620172,488.07465,0.0,95598.336,1.1358663
6692000,6668000,6620172,488.06995,0.0,95598.38,1.1358669
6744000,6720000,6620172,488.06525,0.0,95598.44,1.1358676
6796000,6772000,6620172,488.05588,0.0,95598.52,1.1358685
6848000,6824000,6620172,488.07935,0.0,95598.266,1.1358654
6900000,6876000,6620172,488.0183,0.0,95598.984,1.135874
6952000,6928000,6620172,488.0934,0.0,95598.13,1.1358639
7004000,6980000,6620172,488.03708,0.0,95598.766,1.1358714
7056000,7032000,6620172,488.03708,0.0,95598.734,1.135871
7108000,7084000,6620172,488.03708,0.0,95598.74,1.1358712
7160000,7136000,6620172,488.0934,0.0,95598.12,1.1358638
7212000,7188000,6620172,488.05588,0.0,95598.57,1.1358691
7264000,7240000,6620172,487.98074,0.0,95599.4,1.1358789
