timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
616000,0.0146473935,0.0042610676,0.004261034,4000,0,0.07661447,0.022745091,-9.807848,4000,0
620000,0.01304949,1.9839806e-08,-0.00026633465,4000,0,0.039504327,0.01197118,-9.799467,4000,0
624000,0.0042610588,0.0015979141,-0.003994735,4000,0,0.002394202,0.0011972722,-9.810242,4000,0
628000,0.0018642148,0.0031957976,-0.004261055,4000,0,0.019153617,0.016759586,-9.842566,4000,0
632000,0.0026631565,-0.0013315827,-0.002929481,4000,0,0.05746084,0.0035914748,-9.846155,4000,0
636000,-0.0039947405,-0.00053262326,-0.0055926405,4000,0,0.037110135,-0.022744747,-9.835382,4000,0
640000,-0.008522115,0.001065272,-0.0063915905,4000,0,-0.0047884043,-0.03351866,-9.827002,4000,0
644000,-0.005326325,-1.1208445e-08,-0.007989484,4000,0,-0.023942018,-0.04548967,-9.805455,4000,0
648000,-0.007456838,0.0053263274,-0.00825581,4000,0,-0.05267244,-0.004788232,-9.803061,4000,0
652000,-0.010119985,0.011185304,-0.0010652744,4000,0,-0.058657948,0.04908131,-9.793484,4000,0
656000,-0.0034620978,0.00958739,0.002396826,4000,0,-0.009576809,0.023942187,-9.800665,4000,0
660000,0.0023968436,0.0101200165,0.0021305103,4000,0,0.053869545,-0.032321554,-9.838972,4000,0
664000,0.0050600017,0.0093210675,0.0005326229,4000,0,0.051475346,-0.06105198,-9.8281975,4000,0
668000,0.006657899,0.0018642164,-0.0013315983,4000,0,-0.0011971008,-0.035912856,-9.795877,4000,0
672000,0.0037284263,-0.0010652686,0.00106526,4000,0,-0.023942016,-0.016759245,-9.803061,4000,0
676000,0.0018642116,0.0002663121,0.003728427,4000,0,-0.020350713,-0.062249076,-9.811439,4000,0
680000,-0.00079894735,-0.0007989506,0.0018642126,4000,0,-0.023942016,-0.084993996,-9.805454,4000,0
684000,-0.0034621086,-0.0021305312,-3.9180614e-10,4000,0,-0.01436521,-0.050278075,-9.795877,4000,0
688000,-0.004527376,0.002396847,0.0013315747,4000,0,0.0071826046,-0.0035911321,-9.786301,4000,0
692000,0.00079894596,0.007989487,0.0013315681,4000,0,-0.017956512,0.041898705,-9.78989,4000,0
696000,0.0077231806,0.0050600083,0.006125252,4000,0,-0.027533323,0.05746101,-9.8198185,4000,0
700000,0.001331591,0.0029294544,0.009853702,4000,0,0.0035913025,0.033519,-9.841368,4000,0
704000,-0.0087884385,0.002663131,0.003462119,4000,0,0.015562311,0.021547988,-9.822214,4000,0
708000,-0.011717903,-0.0031957964,0.0037284459,4000,0,0.0071826056,0.007182777,-9.813835,4000,0
712000,-0.0053263335,-0.0013315439,0.011185278,4000,0,-0.009576809,-0.0023940306,-9.800665,4000,0
716000,0.002130507,0.0045274026,0.011451587,4000,0,-0.027533323,0.008379878,-9.78989,4000,0
720000,0.0026631542,0.0053263265,0.008788434,4000,0,-0.044292733,0.009576979,-9.8281975,4000,0
724000,-0.00559264,0.004793667,0.0077231824,4000,0,-0.050278243,0.037110303,-9.855732,4000,0
728000,-0.013848432,0.00079892314,0.00559266,4000,0,-0.023942016,0.051475514,-9.843762,4000,0
732000,-0.015978973,0.0029294803,0.0071905265,4000,0,0.019153617,0.023942187,-9.811439,4000,0
736000,-0.014913714,0.0058589443,0.0047936733,4000,0,0.013168109,0.004788575,-9.788693,4000,0
740000,-0.0066579077,-0.0013316072,-0.0031957743,4000,0,-0.019153617,0.01077408,-9.811439,4000,0
744000,1.2529956e-09,-0.00026632374,-0.0034621092,4000,0,-0.031124622,0.02633639,-9.836578,4000,0
748000,0.0018642223,0.007989483,-0.00053263205,4000,0,-0.011971009,0.0143653825,-9.813835,4000,0
