%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1682493655744517307,32140,1682493655744323973,world,1.6422088146209717,-1.8577865362167358,0.8731538653373718,-0.015186529606580734,0.006803698372095823,0.17386315762996674,0.9846292734146118
1682493655754733740,32141,1682493655754474281,world,1.642212152481079,-1.8577978610992432,0.8731503486633301,-0.015265824273228645,0.006889255251735449,0.17383328080177307,0.9846327304840088
1682493655774606146,32142,1682493655774326562,world,1.6422042846679688,-1.8577806949615479,0.8731547594070435,-0.015194493345916271,0.0068806614726781845,0.17386817932128906,0.9846276640892029
1682493655779563403,32143,1682493655779341361,world,1.6422066688537598,-1.8578002452850342,0.8731501698493958,-0.01531769149005413,0.006918626371771097,0.1737591028213501,0.9846447110176086
1682493655804579192,32144,1682493655804353192,world,1.6422085762023926,-1.8577944040298462,0.87315833568573,-0.015278896316885948,0.006937161087989807,0.17377722263336182,0.9846420884132385
1682493655809535367,32145,1682493655809342575,world,1.6422057151794434,-1.8577946424484253,0.8731527924537659,-0.015333677642047405,0.006915629375725985,0.17379795014858246,0.9846376776695251
1682493655839627122,32146,1682493655839403247,world,1.6422004699707031,-1.8578121662139893,0.8731474280357361,-0.015336933545768261,0.0069001102820038795,0.17375491559505463,0.9846453070640564
1682493655854653104,32147,1682493655854470312,world,1.6422032117843628,-1.8578035831451416,0.8731443285942078,-0.015287823975086212,0.006839546374976635,0.1738363653421402,0.984632134437561
1682493655869498210,32148,1682493655869301751,world,1.642189621925354,-1.857810378074646,0.8731393218040466,-0.015296787023544312,0.006901310291141272,0.17382191121578217,0.9846341013908386
1682493655884454483,32149,1682493655884285150,world,1.6421926021575928,-1.8578311204910278,0.8731458783149719,-0.015310890972614288,0.006859521381556988,0.17375783622264862,0.9846455454826355
1682493655899514507,32150,1682493655899308965,world,1.6421945095062256,-1.8578121662139893,0.8731449246406555,-0.015379135496914387,0.006855929736047983,0.17378780245780945,0.9846391677856445
1682493655904655598,32151,1682493655904460598,world,1.642202615737915,-1.8578051328659058,0.8731397390365601,-0.015295770950615406,0.006855614949017763,0.17381282150745392,0.9846360683441162
1682493655934505228,32152,1682493655934310061,world,1.6421973705291748,-1.8578006029129028,0.8731539249420166,-0.015279809944331646,0.006885840557515621,0.17375530302524567,0.9846462607383728
1682493655934511353,32153,1682493655934332603,world,1.6422032117843628,-1.8577985763549805,0.8731502294540405,-0.015355442650616169,0.006891992408782244,0.17374970018863678,0.9846460223197937
1682493655959469642,32154,1682493655959294933,world,1.6422193050384521,-1.8577851057052612,0.8731530904769897,-0.015219544060528278,0.006842833943665028,0.17389129102230072,0.9846234917640686
1682493655964665775,32155,1682493655964506567,world,1.6422206163406372,-1.8577756881713867,0.8731569647789001,-0.01528882049024105,0.006835812237113714,0.1738245189189911,0.9846342206001282
1682493655994682864,32156,1682493655994443947,world,1.6422241926193237,-1.8577810525894165,0.8731690049171448,-0.015385131351649761,0.006931670941412449,0.1737622171640396,0.9846431016921997
1682493656009560595,32157,1682493656009355803,world,1.6422256231307983,-1.8577842712402344,0.8731632828712463,-0.015371656976640224,0.006857624743133783,0.1737634837627411,0.9846435785293579
1682493656034788759,32158,1682493656034414092,world,1.6422263383865356,-1.8577824831008911,0.8731578588485718,-0.015272976830601692,0.006845119409263134,0.1738435924053192,0.9846311211585999
1682493656039570600,32159,1682493656039354100,world,1.6422139406204224,-1.8577638864517212,0.8731597065925598,-0.015209853649139404,0.006819344591349363,0.17392173409461975,0.9846184849739075
1682493656054488040,32160,1682493656054322082,world,1.6422151327133179,-1.85776948928833,0.8731638789176941,-0.015131521970033646,0.0068340483121573925,0.17396248877048492,0.9846122860908508
1682493656059480756,32161,1682493656059342631,world,1.642215371131897,-1.8577795028686523,0.873166024684906,-0.015245422720909119,0.006890871562063694,0.17381468415260315,0.9846363067626953
1682493656084474795,32162,1682493656084294212,world,1.642212152481079,-1.857771873474121,0.8731629252433777,-0.015213679522275925,0.006852224003523588,0.17384421825408936,0.9846318960189819
1682493656099491110,32163,1682493656099283318,world,1.642217755317688,-1.857798457145691,0.8731591105461121,-0.015285452827811241,0.006925541441887617,0.17373456060886383,0.9846495985984802
1682493656114647551,32164,1682493656114303300,world,1.6422126293182373,-1.857762098312378,0.8731646537780762,-0.015113228932023048,0.00683610700070858,0.17388010025024414,0.9846271872520447
1682493656134462665,32165,1682493656134288956,world,1.6422127485275269,-1.8577611446380615,0.8731651306152344,-0.015068987384438515,0.006843962240964174,0.17397192120552063,0.9846115708351135
1682493656149530772,32166,1682493656149349313,world,1.6422170400619507,-1.857781171798706,0.8731594085693359,-0.01525139156728983,0.00688848365098238,0.17379111051559448,0.98464035987854
1682493656164522253,32167,1682493656164307128,world,1.6422141790390015,-1.857774019241333,0.8731623888015747,-0.015046392567455769,0.006836033891886473,0.17399746179580688,0.9846073985099792
1682493656179599277,32168,1682493656179422985,world,1.6422162055969238,-1.8577866554260254,0.8731646537780762,-0.015066121704876423,0.00682175625115633,0.17392033338546753,0.9846208095550537
1682493656194590217,32169,1682493656194357133,world,1.642211675643921,-1.8577882051467896,0.8731617331504822,-0.01517916563898325,0.006896633189171553,0.17387379705905914,0.984626829624176
1682493656209487532,32170,1682493656209318948,world,1.6422028541564941,-1.8578184843063354,0.8731513023376465,-0.015403994359076023,0.006871380843222141,0.17373226583003998,0.9846484661102295
