Format Version,1.23,Take Name,Take 2023-04-17 01.50.34 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-17 01.50.34.841 下午,Capture Start Frame,271873,Total Frames in Take,7438,Total Exported Frames,6694,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2,BDF7A5F0DCE311EDA1C33D84CA38AFB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000037,0.000010,0.000032,1.000000,1377.737915,647.050903,2697.883057
1,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000048,-0.000001,0.000036,1.000000,1377.737915,647.052185,2697.877441
2,0.011000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000044,0.000001,0.000046,1.000000,1377.735229,647.050354,2697.872803
3,0.016000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000048,0.000007,0.000027,1.000000,1377.736816,647.046570,2697.881104
4,0.022000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000034,0.000010,0.000021,1.000000,1377.733521,647.047058,2697.876465
5,0.027000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000038,0.000003,0.000014,1.000000,1377.734863,647.043457,2697.885986
6,0.033000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000041,-0.000010,0.000024,1.000000,1377.736206,647.047485,2697.884766
7,0.038000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000042,-0.000009,0.000019,1.000000,1377.738770,647.045166,2697.884033
8,0.044000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000035,0.000009,0.000031,1.000000,1377.735107,647.043945,2697.884277
9,0.050000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000021,0.000027,0.000013,1.000000,1377.732056,647.049866,2697.887207
10,0.055000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000028,0.000013,0.000026,1.000000,1377.737427,647.043701,2697.881836
11,0.061000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000039,0.000016,0.000013,1.000000,1377.738281,647.051819,2697.879883
12,0.066000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000045,0.000001,0.000030,1.000000,1377.732300,647.050293,2697.879639
13,0.072000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000037,0.000001,0.000031,1.000000,1377.735229,647.048096,2697.881348
14,0.077000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000042,0.000001,0.000011,1.000000,1377.735962,647.048462,2697.881104
15,0.083000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000029,0.000002,0.000002,1.000000,1377.736084,647.050537,2697.874023
16,0.088000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000023,0.000009,0.000019,1.000000,1377.736206,647.050232,2697.873047
17,0.094000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000027,0.000017,0.000040,1.000000,1377.734009,647.053284,2697.876221
18,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000020,0.000002,-0.000002,1.000000,1377.732788,647.051697,2697.875000
19,0.105000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000027,-0.000002,-0.000007,1.000000,1377.729736,647.053650,2697.871582
20,0.111000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000036,0.000003,0.000011,1.000000,1377.734985,647.054749,2697.883545
21,0.116000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000044,-0.000004,0.000038,1.000000,1377.735840,647.054626,2697.876953
22,0.122000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000045,-0.000006,0.000026,1.000000,1377.738770,647.055542,2697.881592
23,0.127000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000040,0.000000,0.000035,1.000000,1377.733765,647.052734,2697.878174
24,0.133000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000030,0.000011,0.000031,1.000000,1377.729370,647.044189,2697.883789
25,0.138000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000028,0.000015,0.000021,1.000000,1377.733276,647.051147,2697.874023
26,0.144000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000039,0.000004,0.000012,1.000000,1377.734497,647.052856,2697.864014
27,0.150000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000032,0.000011,0.000042,1.000000,1377.728638,647.056824,2697.875977
28,0.155000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000018,-0.000002,0.000014,1.000000,1377.728271,647.049438,2697.888184
29,0.161000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000018,0.000006,0.000022,1.000000,1377.735352,647.053711,2697.884766
30,0.166000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000026,0.000002,0.000029,1.000000,1377.731934,647.049927,2697.881592
31,0.172000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000023,0.000016,0.000032,1.000000,1377.732056,647.041992,2697.892578
32,0.177000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000017,0.000012,0.000026,1.000000,1377.733032,647.045471,2697.889160
33,0.183000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000014,0.000033,0.000032,1.000000,1377.734497,647.045044,2697.882080
34,0.188000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000022,0.000018,0.000016,1.000000,1377.729614,647.039368,2697.889160
35,0.194000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000021,0.000024,0.000016,1.000000,1377.731445,647.042175,2697.879395
36,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000025,0.000013,0.000026,1.000000,1377.737427,647.044739,2697.885254
37,0.205000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000031,0.000010,0.000029,1.000000,1377.741577,647.050903,2697.881104
38,0.211000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000020,0.000021,0.000038,1.000000,1377.735962,647.060486,2697.878174
39,0.216000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000007,0.000012,0.000005,1.000000,1377.739502,647.055481,2697.880615
40,0.222000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000024,0.000025,0.000032,1.000000,1377.734131,647.056763,2697.872314
41,0.227000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000023,0.000021,0.000011,1.000000,1377.738037,647.051331,2697.874023
42,0.233000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000008,0.000003,-0.000005,1.000000,1377.735352,647.052368,2697.879150
43,0.238000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000012,0.000013,0.000013,1.000000,1377.738647,647.053772,2697.880615
