Format Version,1.23,Take Name,Take 2023-04-16 08.31.25 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-16 08.31.25.957 下午,Capture Start Frame,98506,Total Frames in Take,11727,Total Exported Frames,10554,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
29,0.161000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003519,-0.010966,0.999287,1433.718750,130.477463,2035.919189
30,0.166000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035994,0.003533,-0.010986,0.999285,1433.718750,130.473526,2035.918457
31,0.172000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035989,0.003494,-0.010992,0.999286,1433.698853,130.468185,2035.911621
32,0.177000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035972,0.003511,-0.010999,0.999286,1433.702759,130.471100,2035.918945
33,0.183000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035978,0.003506,-0.010989,0.999286,1433.720337,130.474686,2035.915405
34,0.188000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035971,0.003508,-0.010968,0.999286,1433.724365,130.468948,2035.913208
35,0.194000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035947,0.003514,-0.010981,0.999287,1433.721802,130.469391,2035.913940
36,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035972,0.003519,-0.010974,0.999286,1433.716919,130.470413,2035.912231
37,0.205000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035959,0.003523,-0.010976,0.999287,1433.721191,130.473816,2035.916382
38,0.211000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035940,0.003507,-0.010971,0.999288,1433.715576,130.469223,2035.916138
39,0.216000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035966,0.003506,-0.011002,0.999286,1433.710327,130.468536,2035.911987
40,0.222000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035966,0.003505,-0.011007,0.999286,1433.716064,130.482529,2035.915649
41,0.227000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035981,0.003510,-0.011013,0.999286,1433.721680,130.481827,2035.911133
42,0.233000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035978,0.003515,-0.011008,0.999286,1433.715942,130.466904,2035.920898
43,0.238000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035979,0.003513,-0.011002,0.999286,1433.713867,130.465118,2035.912964
44,0.244000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035984,0.003514,-0.011005,0.999286,1433.719116,130.467560,2035.916748
45,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035940,0.003516,-0.010964,0.999288,1433.720703,130.470779,2035.911621
46,0.255000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035933,0.003522,-0.010968,0.999288,1433.719238,130.462753,2035.912720
47,0.261000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035960,0.003529,-0.010977,0.999287,1433.728271,130.471024,2035.906982
48,0.266000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035950,0.003519,-0.010961,0.999287,1433.729736,130.472504,2035.915894
49,0.272000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035958,0.003512,-0.010971,0.999287,1433.714600,130.476227,2035.914917
50,0.277000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003510,-0.010970,0.999287,1433.715210,130.481659,2035.906372
51,0.283000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035984,0.003510,-0.010990,0.999286,1433.718872,130.473679,2035.920410
52,0.288000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003522,-0.010997,0.999286,1433.724121,130.478394,2035.920166
53,0.294000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035947,0.003533,-0.010994,0.999287,1433.720947,130.470932,2035.915894
54,0.300000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035943,0.003529,-0.010950,0.999288,1433.720825,130.468903,2035.915405
55,0.305000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035949,0.003533,-0.010948,0.999287,1433.723999,130.474838,2035.907959
56,0.311000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035962,0.003513,-0.010975,0.999287,1433.724854,130.463593,2035.916138
57,0.316000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035970,0.003513,-0.011000,0.999286,1433.723511,130.460175,2035.915405
58,0.322000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035960,0.003522,-0.010976,0.999287,1433.725708,130.472443,2035.909424
59,0.327000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035952,0.003519,-0.010971,0.999287,1433.724121,130.475433,2035.911987
60,0.333000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035966,0.003529,-0.011005,0.999286,1433.723511,130.478882,2035.909912
61,0.338000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035962,0.003519,-0.011008,0.999286,1433.718140,130.466949,2035.916626
62,0.344000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035971,0.003525,-0.011006,0.999286,1433.718872,130.471359,2035.916382
63,0.350000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035959,0.003522,-0.011029,0.999286,1433.718750,130.474594,2035.918701
64,0.355000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035958,0.003523,-0.010994,0.999287,1433.716064,130.462936,2035.916626
65,0.361000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035956,0.003535,-0.010999,0.999287,1433.725952,130.470978,2035.917969
66,0.366000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035960,0.003523,-0.010961,0.999287,1433.728271,130.462112,2035.913452
67,0.372000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035954,0.003519,-0.010971,0.999287,1433.723755,130.480972,2035.912231
68,0.377000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035977,0.003509,-0.011001,0.999286,1433.719849,130.477127,2035.913696
69,0.383000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035971,0.003523,-0.010984,0.999286,1433.720093,130.468658,2035.922485
70,0.388000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035971,0.003523,-0.010985,0.999286,1433.723877,130.471710,2035.918213
71,0.394000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035973,0.003518,-0.010999,0.999286,1433.721924,130.474014,2035.913940
72,0.400000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035953,0.003515,-0.010976,0.999287,1433.716675,130.460724,2035.923218
73,0.405000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035970,0.003523,-0.010989,0.999286,1433.721436,130.471191,2035.910400
74,0.411000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035970,0.003528,-0.011004,0.999286,1433.726074,130.475677,2035.915649
75,0.416000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035951,0.003517,-0.010979,0.999287,1433.718628,130.475754,2035.908447
76,0.422000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035993,0.003516,-0.011026,0.999285,1433.722168,130.465286,2035.918701
77,0.427000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035989,0.003522,-0.011001,0.999285,1433.719238,130.471634,2035.915894
78,0.433000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035982,0.003527,-0.011018,0.999286,1433.714233,130.474762,2035.905396
79,0.438000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035963,0.003529,-0.011004,0.999286,1433.712646,130.477966,2035.909180
80,0.444000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035949,0.003523,-0.010981,0.999287,1433.718140,130.471863,2035.920166
81,0.450000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003511,-0.010974,0.999287,1433.729248,130.474731,2035.920410
82,0.455000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003509,-0.011001,0.999286,1433.716797,130.478241,2035.916138
83,0.461000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035961,0.003515,-0.010986,0.999287,1433.708008,130.473816,2035.914429
84,0.466000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035960,0.003528,-0.010991,0.999287,1433.712280,130.481552,2035.909424
