Format Version,1.23,Take Name,Take 2023-04-17 05.44.15 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-17 05.44.15.822 下午,Capture Start Frame,1863166,Total Frames in Take,13337,Total Exported Frames,12003,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,64B848EADD0411EDA1C33D84CA38AFB2,64B848EADD0411EDA1C33D84CA38AFB2,64B848EADD0411EDA1C33D84CA38AFB2,64B848EADD0411EDA1C33D84CA38AFB2,64B848EADD0411EDA1C33D84CA38AFB2,64B848EADD0411EDA1C33D84CA38AFB2,64B848EADD0411EDA1C33D84CA38AFB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000089,0.000064,0.000098,1.000000,677.657715,969.870850,1580.843140
1,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000058,0.000081,0.000040,1.000000,677.655579,969.872314,1580.841797
2,0.011000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000071,0.000088,0.000018,1.000000,677.649902,969.872925,1580.843994
3,0.016000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000126,0.000052,0.000001,1.000000,677.649902,969.876221,1580.842163
4,0.022000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000061,0.000070,0.000027,1.000000,677.649902,969.872009,1580.849121
5,0.027000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000014,0.000031,0.000012,1.000000,677.650452,969.872864,1580.845093
6,0.033000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000031,0.000050,0.000016,1.000000,677.652283,969.881287,1580.843018
7,0.038000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000068,0.000045,0.000036,1.000000,677.651978,969.877869,1580.843872
8,0.044000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000063,0.000107,0.000121,1.000000,677.654541,969.869324,1580.856079
9,0.050000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000057,0.000122,0.000147,1.000000,677.654907,969.869263,1580.850342
10,0.055000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000053,0.000111,0.000111,1.000000,677.653320,969.875854,1580.844604
11,0.061000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000016,0.000131,0.000097,1.000000,677.653870,969.866455,1580.855957
12,0.066000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000037,0.000023,0.000050,1.000000,677.652832,969.871277,1580.845703
13,0.072000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000039,0.000114,0.000131,1.000000,677.655945,969.867737,1580.851929
14,0.077000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000050,0.000099,0.000122,1.000000,677.653198,969.874023,1580.845825
15,0.083000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000017,0.000127,-0.000079,1.000000,677.672241,969.872498,1580.862549
16,0.088000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000069,0.000047,-0.000038,1.000000,677.659363,969.875122,1580.846802
17,0.094000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000074,0.000046,0.000022,1.000000,677.647522,969.875732,1580.843140
18,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000061,0.000045,0.000003,1.000000,677.648743,969.879211,1580.844727
19,0.105000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000020,0.000129,0.000058,1.000000,677.651611,969.871826,1580.858154
20,0.111000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000038,0.000070,0.000103,1.000000,677.651428,969.878174,1580.849609
21,0.116000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000078,0.000050,0.000082,1.000000,677.653076,969.880615,1580.844482
22,0.122000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000110,0.000055,0.000051,1.000000,677.654846,969.887390,1580.837036
23,0.127000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000032,0.000044,0.000045,1.000000,677.652161,969.880127,1580.838745
24,0.133000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000050,0.000125,0.000147,1.000000,677.654053,969.865906,1580.854126
25,0.138000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000045,0.000069,0.000080,1.000000,677.652832,969.869263,1580.843872
26,0.144000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000075,0.000092,0.000069,1.000000,677.651733,969.874207,1580.846313
27,0.150000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000026,0.000067,0.000035,1.000000,677.648865,969.879028,1580.839355
28,0.155000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000042,0.000049,0.000043,1.000000,677.647583,969.882507,1580.838989
29,0.161000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000100,0.000061,0.000057,1.000000,677.652893,969.883240,1580.836548
30,0.166000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000055,0.000117,0.000154,1.000000,677.655151,969.871826,1580.846436
31,0.172000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000022,0.000042,0.000061,1.000000,677.652832,969.874451,1580.842773
32,0.177000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000012,0.000033,-0.000109,1.000000,677.672180,969.876160,1580.850952
33,0.183000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000027,0.000102,0.000072,1.000000,677.663757,969.875916,1580.847290
34,0.188000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000014,0.000060,0.000076,1.000000,677.653503,969.877197,1580.843872
35,0.194000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000005,0.000102,0.000086,1.000000,677.654236,969.869812,1580.843628
36,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000064,0.000057,-0.000109,1.000000,677.679260,969.872131,1580.852661
37,0.205000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000036,0.000018,-0.000048,1.000000,677.663757,969.881714,1580.838501
38,0.211000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000048,-0.000006,0.000011,1.000000,677.649597,969.884155,1580.832153
39,0.216000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000032,0.000035,0.000012,1.000000,677.650574,969.880676,1580.834961
40,0.222000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000064,0.000058,-0.000110,1.000000,677.679077,969.874756,1580.848755
41,0.227000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000052,0.000139,0.000089,1.000000,677.667175,969.869690,1580.851196
42,0.233000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000001,0.000048,0.000075,1.000000,677.651917,969.875244,1580.843384
43,0.238000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000015,0.000054,0.000035,1.000000,677.651184,969.876953,1580.838623
44,0.244000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000040,0.000076,0.000005,1.000000,677.650940,969.877991,1580.842773
45,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000010,0.000080,-0.000004,1.000000,677.651794,969.880005,1580.844116
46,0.255000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000008,0.000137,0.000137,1.000000,677.651917,969.872925,1580.852417
47,0.261000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000015,0.000092,0.000100,1.000000,677.654419,969.867126,1580.851318
48,0.266000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000050,0.000068,-0.000077,1.000000,677.675964,969.871277,1580.853760
49,0.272000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000008,0.000017,0.000004,1.000000,677.662292,969.878174,1580.837158
50,0.277000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000028,0.000015,0.000007,1.000000,677.654053,969.876648,1580.836426
