%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1682431229131997739,289,1682431229131763946,world,1.6881756782531738,-1.8591256141662598,0.8790132403373718,-0.0003069208760280162,0.00014221202582120895,0.00037270991015248,0.9999998807907104
1682431229141222643,290,1682431229141075059,world,1.6881765127182007,-1.8591281175613403,0.8790109753608704,-0.0002951619972009212,0.0001426666131010279,0.0004137118812650442,0.9999998807907104
1682431229161365124,291,1682431229161129165,world,1.6881775856018066,-1.8591290712356567,0.8790127635002136,-0.0002608461072668433,0.0001370357786072418,0.0003849869826808572,0.9999998807907104
1682431229176275005,292,1682431229176084129,world,1.6881766319274902,-1.859115719795227,0.8790158033370972,-0.0003431185323279351,0.0001227663888130337,0.0004054865275975317,0.9999998807907104
1682431229191534012,293,1682431229191300803,world,1.6881741285324097,-1.859122395515442,0.8790158629417419,-0.0003308652376290411,0.00010585282871033996,0.0003745386784430593,0.9999998807907104
1682431229206420476,294,1682431229206243726,world,1.6881706714630127,-1.8591231107711792,0.8790113925933838,-0.00029503568657673895,0.00012574197899084538,0.00036687025567516685,0.9999998807907104
1682431229236288321,295,1682431229236075487,world,1.6881768703460693,-1.8591283559799194,0.8790140748023987,-0.00026012578746303916,0.00010759124415926635,0.0004111220478080213,0.9999998807907104
1682431229272195144,296,1682431229271920268,world,1.6881762742996216,-1.8591195344924927,0.8790144920349121,-0.00030479629640467465,0.00010224628931609914,0.0004401315818540752,0.9999998807907104
1682431229306544462,297,1682431229306267003,world,1.6881784200668335,-1.8591281175613403,0.8790137767791748,-0.0002508455654606223,0.00011837264901259914,0.000415699410950765,0.9999998807907104
1682431229341523949,298,1682431229341202823,world,1.6881749629974365,-1.8591243028640747,0.8790159821510315,-0.00030525305191986263,0.00013786509225610644,0.00037900544703006744,0.9999998807907104
1682431229361474054,299,1682431229361146928,world,1.688177466392517,-1.8591206073760986,0.8790140151977539,-0.00028770588687621057,0.00016896052693482488,0.00039748428389430046,0.9999998807907104
1682431229396581708,300,1682431229396196706,world,1.6881765127182007,-1.8591245412826538,0.8790111541748047,-0.0003117353480774909,0.00012335188512224704,0.0003906823112629354,0.9999998807907104
1682431229426366011,301,1682431229426114718,world,1.6881734132766724,-1.859115481376648,0.8790181875228882,-0.00027223702636547387,0.00014704279601573944,0.00040690641617402434,0.9999998807907104
1682431229456784858,302,1682431229456566524,world,1.6881757974624634,-1.8591138124465942,0.879015326499939,-0.00031466077780351043,0.0001876398891909048,0.00040817397530190647,0.9999998807907104
1682431229486360952,303,1682431229486106368,world,1.6881743669509888,-1.85912024974823,0.8790163397789001,-0.00027932351804338396,7.306822226382792e-05,0.0004270465869922191,0.9999998807907104
1682431229516426381,304,1682431229516181506,world,1.688174843788147,-1.8591166734695435,0.8790170550346375,-0.0003115824074484408,0.00011010488378815353,0.0004239194677211344,0.9999998807907104
1682431229546533977,305,1682431229546256393,world,1.688173770904541,-1.8591233491897583,0.8790136575698853,-0.00030554289696738124,0.00012028704804833978,0.0003778508980758488,0.9999998807907104
1682431229561315275,306,1682431229561126232,world,1.6881706714630127,-1.859114170074463,0.8790169954299927,-0.00035754492273554206,0.00012435410462785512,0.0004132275062147528,0.9999998807907104
1682431229581564756,307,1682431229581292963,world,1.6881738901138306,-1.8591161966323853,0.8790215253829956,-0.0002805997501127422,0.0001075232430594042,0.00042492130887694657,0.9999998807907104
1682431229596302553,308,1682431229596142302,world,1.6881734132766724,-1.859114408493042,0.8790193200111389,-0.0003345122968312353,0.00012261410302016884,0.0004097494820598513,0.9999998807907104
1682431229626438482,309,1682431229626165481,world,1.6881725788116455,-1.8591196537017822,0.8790181279182434,-0.0002955094969365746,0.00011906523286597803,0.00041450205026194453,0.9999998807907104
1682431229656414370,310,1682431229656109452,world,1.6881754398345947,-1.859114646911621,0.8790156841278076,-0.00030184382922016084,0.00014847492275293916,0.00040081096813082695,0.9999998807907104
1682431229686596924,311,1682431229686212590,world,1.6881757974624634,-1.8591258525848389,0.8790150880813599,-0.0003303206176497042,0.00015419727424159646,0.0003654847096186131,0.9999998807907104
1682431229701335013,312,1682431229701112262,world,1.6881742477416992,-1.8591234683990479,0.8790135979652405,-0.00028107778052799404,0.00012787508603651077,0.0004253647930454463,0.9999998807907104
1682431229716408769,313,1682431229716186977,world,1.6881762742996216,-1.859117865562439,0.8790175318717957,-0.00033090810757130384,0.00013143657997716218,0.00038715984555892646,0.9999998807907104
1682431229736474000,314,1682431229736170082,world,1.6881762742996216,-1.859123945236206,0.8790170550346375,-0.0003258370270486921,0.00019991520093753934,0.00032095296774059534,0.9999998807907104
1682431229752472718,315,1682431229751408089,world,1.6881747245788574,-1.859128475189209,0.8790174126625061,-0.00030915316892787814,9.830376075115055e-05,0.0004201100382488221,0.9999998807907104
1682431229752512301,316,1682431229751454631,world,1.6881753206253052,-1.859116792678833,0.8790174722671509,-0.0002620633749756962,0.00011852577154058963,0.00040265137795358896,0.9999998807907104
1682431229781834603,317,1682431229781461727,world,1.6881773471832275,-1.8591254949569702,0.879014790058136,-0.0002805951808113605,8.711339614819735e-05,0.00037909444654360414,0.9999998807907104
1682431229786533285,318,1682431229786236950,world,1.6881762742996216,-1.8591293096542358,0.8790119886398315,-0.0002567273040767759,0.00014431863382924348,0.00037077267188578844,0.9999998807907104
