timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
2388000,2380000,197388,0.2124544,0.0060499203,0.43126392,0
2408000,2400000,197388,0.21472073,0.008841118,0.42570344,0
2428000,2420000,197388,0.21772699,0.011454786,0.43182898,0
2448000,2440000,197388,0.21687181,0.011380524,0.42852718,0
2468000,2460000,197388,0.21576583,0.010427017,0.43338862,0
2488000,2480000,197388,0.21520245,0.010481175,0.4277485,0
2508000,2500000,197388,0.21539187,0.010485589,0.427541,0
2528000,2520000,197388,0.21570423,0.011302813,0.42630902,0
2548000,2540000,197388,0.21620916,0.005909031,0.43049532,0
2568000,2560000,197388,0.2156246,0.007094316,0.42814174,0
2588000,2580000,197388,0.21523869,0.009668897,0.4299735,0
2608000,2600000,197388,0.21560839,0.010445133,0.42864862,0
2628000,2620000,197388,0.21676746,0.009000269,0.4300936,0
2648000,2640000,197388,0.21444766,0.014460035,0.42529175,0
2668000,2660000,197388,0.2143083,0.011639937,0.4305668,0
2688000,2680000,197388,0.21409617,0.009784637,0.4280412,0
2708000,2700000,197388,0.21300696,0.0092322035,0.4303701,0
2728000,2720000,197388,0.21251166,0.010846356,0.43252406,0
2748000,2740000,197388,0.22185235,0.007878004,0.43261272,0
2768000,2760000,197388,0.21864071,0.009635325,0.4239544,0
2788000,2780000,197388,0.21474151,0.008915232,0.42816183,0
2808000,2800000,197388,0.218745,0.009765053,0.43138525,0
2828000,2820000,197388,0.21508966,0.011133282,0.4309462,0
2848000,2840000,197388,0.21329351,0.014221971,0.4289197,0
2868000,2860000,197388,0.21209803,0.013110786,0.4298577,0
2888000,2880000,197388,0.21507347,0.012589917,0.42940456,0
2908000,2900000,197388,0.2085965,0.010692484,0.42446914,0
2928000,2920000,197388,0.21552883,0.01117448,0.43012425,0
2948000,2940000,197388,0.21633632,0.0107779605,0.4277358,0
2968000,2960000,197388,0.21534474,0.0032474198,0.4275549,0
2988000,2980000,197388,0.21282664,0.008669301,0.42882487,0
3008000,3000000,197388,0.21947785,0.012544594,0.4300351,0
3028000,3020000,197388,0.21716666,0.0046629086,0.43260357,0
3048000,3040000,197388,0.21294403,0.010153077,0.43049905,0
3068000,3060000,197388,0.21393445,0.0068158815,0.42834303,0
3088000,3080000,197388,0.21282962,0.013511452,0.42997074,0
3108000,3100000,197388,0.21678817,0.010562182,0.42881948,0
3128000,3120000,197388,0.2157938,0.0076530227,0.43034074,0
3148000,3140000,197388,0.20964336,0.008388267,0.4288067,0
3168000,3160000,197388,0.2138146,0.00791986,0.4269317,0
3188000,3180000,197388,0.21509878,0.012571956,0.43437132,0
3208000,3200000,197388,0.21779776,0.011199906,0.428747,0
3228000,3220000,197388,0.21758004,0.011686143,0.43125686,0
3248000,3240000,197388,0.21649735,0.010133083,0.4318421,0
3268000,3260000,197388,0.21881115,0.008022115,0.42707133,0
3288000,3280000,197388,0.21483932,0.010208385,0.43278965,0
3308000,3300000,197388,0.21622053,0.013972445,0.4294415,0
3328000,3320000,197388,0.2160991,0.01179323,0.4271377,0
3348000,3340000,197388,0.21908651,0.015057144,0.42857033,0
3368000,3360000,197388,0.21482222,0.009123437,0.43106967,0
3388000,3380000,197388,0.2119942,0.014502749,0.43119794,0
3408000,3400000,197388,0.21460564,0.013086003,0.42978987,0
3428000,3420000,197388,0.21811719,0.008143361,0.42759782,0
3448000,3440000,197388,0.21884428,0.010622888,0.4306386,0
3468000,3460000,197388,0.21743026,0.013911881,0.4309639,0
3488000,3480000,197388,0.21271984,0.008036619,0.42746598,0
3508000,3500000,197388,0.22423163,0.008822881,0.4306068,0
3528000,3520000,197388,0.21767807,0.0065618875,0.42994577,0
3548000,3540000,197388,0.21293592,0.013422315,0.43073645,0
3568000,3560000,197388,0.21591197,0.011607281,0.43000862,0
3588000,3580000,197388,0.21429811,0.012655702,0.4290969,0
3608000,3600000,197388,0.21406317,0.0100612985,0.4300468,0
3628000,3620000,197388,0.21968813,0.011359393,0.4285681,0
3648000,3640000,197388,0.21396053,0.008811043,0.43070754,0
3668000,3660000,197388,0.21506493,0.0148842335,0.4293378,0
3688000,3680000,197388,0.21598399,0.0081377085,0.42610094,0
3708000,3700000,197388,0.21521898,0.011724349,0.42874518,0
3728000,3720000,197388,0.21454974,0.009770711,0.42907068,0
3748000,3740000,197388,0.21620624,0.00829327,0.43296757,0
3768000,3760000,197388,0.21702282,0.009906693,0.4270389,0
3788000,3780000,197388,0.21764217,0.010037998,0.43164235,0
3808000,3800000,197388,0.21626437,0.0136309285,0.42984524,0
3828000,3820000,197388,0.21514916,0.005992169,0.42667508,0
3848000,3840000,197388,0.21614547,0.0121278465,0.43162656,0
3868000,3860000,197388,0.21520863,0.013513093,0.43106347,0
3888000,3880000,197388,0.21880642,0.0098809665,0.42792365,0
3908000,3900000,197388,0.215734,0.008951167,0.43080044,0
3928000,3920000,197388,0.2138573,0.010508734,0.4295108,0
3948000,3940000,197388,0.21845351,0.007725178,0.4304386,0
3968000,3960000,197388,0.21194963,0.011292574,0.43072817,0
3988000,3980000,197388,0.21704414,0.012173193,0.43272287,0
4008000,4000000,197388,0.21538344,0.0055053774,0.42794544,0
4028000,4020000,197388,0.21319273,0.012197881,0.4281406,0
4048000,4040000,197388,0.21467243,0.0091549605,0.43488875,0
4068000,4060000,197388,0.21432956,0.011068436,0.42635423,0
4088000,4080000,197388,0.21516763,0.0060141743,0.43119273,0
4108000,4100000,197388,0.21607359,0.010510954,0.429993,0
4128000,4120000,197388,0.21304682,0.0071571516,0.424884,0
4148000,4140000,197388,0.21428238,0.012467007,0.42734575,0
4168000,4160000,197388,0.21564172,0.012077033,0.4342308,0
4188000,4180000,197388,0.21655253,0.0070543885,0.42295423,0
4208000,4200000,197388,0.21516939,0.009894516,0.4279634,0
4228000,4220000,197388,0.21412824,0.007969963,0.42758164,0
4248000,4240000,197388,0.21519111,0.011614959,0.43354183,0
4268000,4260000,197388,0.21303682,0.009660386,0.43252954,0
4288000,4280000,197388,0.21671227,0.0100529445,0.42991662,0
4308000,4300000,197388,0.216273,0.011708832,0.42821804,0
4328000,4320000,197388,0.21212791,0.009929835,0.43072268,0
4348000,4340000,197388,0.21619712,0.011051959,0.43041578,0
4368000,4360000,197388,0.21708624,0.01032434,0.43353963,0
4388000,4380000,197388,0.21272056,0.013699889,0.42933258,0
4408000,4400000,197388,0.21689402,0.005138737,0.4298799,0
4428000,4420000,197388,0.21809292,0.009670028,0.42794225,0
4448000,4440000,197388,0.2139987,0.010279115,0.43165722,0
4468000,4460000,197388,0.21403575,0.007137067,0.4291439,0
4488000,4480000,197388,0.21491924,0.008187985,0.43244562,0
4508000,4500000,197388,0.21689188,0.012904502,0.43193933,0
4528000,4520000,197388,0.21138401,0.007847945,0.43098447,0
4548000,4540000,197388,0.21520816,0.0110925045,0.42858815,0
4568000,4560000,197388,0.21658449,0.012726205,0.4301358,0
4588000,4580000,197388,0.21082716,0.010079398,0.42781597,0
4608000,4600000,197388,0.21507119,0.008998322,0.43240976,0
4628000,4620000,197388,0.21613646,0.008914991,0.42866078,0
4648000,4640000,197388,0.21550028,0.007184233,0.42773977,0
4668000,4660000,197388,0.21502554,0.008014619,0.429056,0
4688000,4680000,197388,0.21497004,0.008436112,0.42679211,0
4708000,4700000,197388,0.21999243,0.00563574,0.43273374,0
4728000,4720000,197388,0.21403316,0.014337915,0.4320275,0
4748000,4740000,197388,0.21583548,0.012437267,0.42943063,0
4768000,4760000,197388,0.21776617,0.0071701864,0.42911312,0
4788000,4780000,197388,0.21108273,0.010279628,0.4290587,0
4808000,4800000,197388,0.21357773,0.007485648,0.4294572,0
4828000,4820000,197388,0.21767826,0.009519524,0.4291927,0
4848000,4840000,197388,0.21450572,0.01052541,0.4270079,0
4868000,4860000,197388,0.21184495,0.013852486,0.4294757,0
4888000,4880000,197388,0.21592398,0.011090314,0.4269916,0
4908000,4900000,197388,0.21289182,0.015289912,0.427953,0
4928000,4920000,197388,0.21559516,0.007510902,0.42907578,0
4948000,4940000,197388,0.21607815,0.009461366,0.4283901,0
4968000,4960000,197388,0.21301238,0.01235642,0.4276137,0
4988000,4980000,197388,0.21043356,0.006582573,0.4306484,0
5008000,5000000,197388,0.21809672,0.007959808,0.43205673,0
5028000,5020000,197388,0.21808799,0.008926319,0.42965743,0
5048000,5040000,197388,0.21489835,0.010067,0.43214956,0
5068000,5060000,197388,0.21692263,0.00927158,0.43082657,0
5088000,5080000,197388,0.21660732,0.009958208,0.4256892,0
5108000,5100000,197388,0.21137558,0.0064544617,0.4298047,0
5128000,5120000,197388,0.21461669,0.0072593885,0.42997906,0
5148000,5140000,197388,0.21297443,0.009705881,0.42445636,0
5168000,5160000,197388,0.21582364,0.0134115,0.43026528,0
5188000,5180000,197388,0.21026595,0.008982036,0.43093473,0
5208000,5200000,197388,0.21467865,0.011014792,0.43029863,0
5228000,5220000,197388,0.21425472,0.014913884,0.424779,0
5248000,5240000,197388,0.21488653,0.008348558,0.4299728,0
5268000,5260000,197388,0.21707128,0.015410783,0.43386278,0
5288000,5280000,197388,0.21811536,0.0074535073,0.4315772,0
5308000,5300000,197388,0.21661691,0.013689065,0.4262913,0
5328000,5320000,197388,0.21861033,0.010351062,0.43080255,0
5348000,5340000,197388,0.2090503,0.005684003,0.4312782,0
